user_id,article_id,rating_scaled
623,64421,0.4432391300712869
565,20691,0.7838312720650892
305,73422,0.4829813143075542
885,87106,0.6516269085255325
906,12270,0.642138713561888
749,471,0.4449521925987693
474,91460,0.6751883660611661
770,69914,0.41193101690045564
980,64546,0.6905688386146688
721,58114,0.8574249700646926
997,59837,0.6314202110217074
312,105989,0.5574877749047503
167,63300,0.4737744328600243
549,107697,0.8048474715671853
730,5580,0.512495994637051
141,42164,0.6303916443008591
40,38257,0.6144320182860697
652,88642,0.863430537826991
339,96872,0.5744648168567165
931,111125,0.3885268531746314
577,16988,0.6287573823274261
889,7434,0.46584925483592377
627,43604,0.4861174913149703
351,5375,0.6326871160319457
881,99482,0.49457813128539574
503,33079,0.5564933566725322
355,15197,0.744347933425119
772,30148,0.5295354754499598
393,6072,0.6807842786255761
784,71781,0.49885504607731546
565,1600,0.7655586441496361
922,40204,0.6854597413741509
996,9925,0.5335544649332914
900,84688,0.7320142988380108
5,99172,0.9411076416208232
156,32634,0.3776109149257373
731,30182,1.0
993,82330,0.7229031757323446
278,84843,0.3530244634228993
778,107896,0.5664647079755541
331,42004,0.7465944125844611
148,52832,0.5173553988223897
792,49765,0.7562380509592338
262,40519,0.7418771824511142
301,18798,0.686941085937261
677,70981,0.71617398191692
911,25298,0.3071119752910997
334,43036,0.49590670854286556
593,1924,0.5322879742395711
627,6233,0.949667464252974
529,102876,0.5064828201628707
939,50884,0.8260154011248236
756,11563,0.438554747641667
278,8634,0.6905787290662385
725,15628,0.4228182563036854
335,93525,0.32136250779719566
859,116799,0.3576873787729483
328,61245,0.7282987024649438
649,18248,0.6804108327087405
868,114389,0.4024395104000146
637,64514,0.7594685530444166
847,94314,0.4290699925639504
141,39615,0.2619534232576134
398,43803,0.41012158152078515
786,11266,0.768385436811796
491,60096,0.527499252243503
152,11082,0.7286705900270972
341,101825,0.5733253002061883
528,45158,0.376239348649439
94,112288,0.7955949780833432
867,119117,0.4552485125814226
767,73297,0.7069681259132906
445,50599,0.6690694652664727
450,95264,0.6176211169225333
988,14637,0.62049257375157
274,1642,0.4204606483629364
578,73321,0.22995593768964695
601,8237,0.48868229032432453
958,93808,0.5828323007695223
184,14344,0.5054052103305243
783,35626,0.6213202419954434
628,26481,0.4175045912612819
62,27124,0.20255975647392366
904,91608,0.6557536738904365
734,101598,0.7997260518686805
814,25581,0.4065867385817533
357,7384,0.49624858935845195
562,93952,0.7149236705536218
260,17841,0.8213230196256843
768,74721,0.7964219494692574
236,1636,0.3552714114090133
566,15258,0.5483909338360605
124,70241,0.6622986982140292
624,82620,0.5596139327547044
24,53821,0.4394743208943609
338,13039,0.2756438754204852
43,15013,0.7022275860224801
464,97998,0.49895218422642207
310,30301,0.5961186422534849
916,101648,0.6382803910641427
772,117854,0.48450213339643267
909,10697,0.5674228477377371
946,78584,0.5767351841646092
930,20687,0.39243657403373466
277,31044,0.7233149617502018
587,57522,0.5077205262333552
999,81313,0.5060373088567655
89,29280,0.7736408319885465
480,92055,0.7995525266209614
76,70575,0.42732238553898616
835,101912,0.4451264336476918
390,62660,0.3979631112561445
836,74565,0.5502110607251732
830,80878,0.4374193345764382
870,85371,0.67745310687663
525,70277,0.8575272028084763
438,31632,0.6847903683475759
675,36644,0.6886163202141172
371,88253,0.8275748398631687
962,119035,0.7657209178624537
380,100361,0.41804282900596046
998,109299,0.6427285313888244
33,75812,0.3519896370730461
353,116114,0.5845926212181832
583,17109,0.3258860956783426
837,78159,0.43804184683371405
236,106666,0.46346127747737087
220,50309,0.37165749350164956
454,24787,0.47647208948969266
198,58757,0.659959994469061
825,27825,0.9836688699212918
110,66023,0.7465188052007149
626,2395,0.528798571319249
147,92774,0.7013112594264083
284,115178,0.556096580716294
203,20960,0.7176592275734092
369,19262,0.5714517167558014
185,3518,0.5604023998696962
114,119463,0.5788517571711499
606,56704,0.5793389763922835
166,27245,0.6191201612871989
986,56387,0.6674078368440185
4,10050,0.30529328061204
57,16277,0.6425442537013527
553,26032,0.9799490299587289
330,68094,0.7242054352672914
321,30635,0.7071012663274175
257,65293,0.6840596128052349
218,24386,0.6245483765112027
734,68933,0.7195034621005646
277,14516,0.6499043598754565
963,107463,0.3454159724673814
55,43406,0.6947579059996746
756,30350,0.4137942819219046
791,44127,0.403082367969554
886,1685,0.5435972992341688
280,117727,0.8599786769400232
701,66480,0.5322328934587256
579,13402,0.5942843873997338
434,28899,0.5555524266854596
795,115884,0.7900156121111305
709,44366,0.5928627851029192
414,79300,0.5025421986568398
303,4117,0.9285646098494041
121,109839,0.4528110223359
747,56368,0.7278204179873208
